"Player Name","Pos","Consensus","Andy","Jason","Mike"
"Terrelle Pryor NYJ (11)","WR","160","94","178","195"
"John Ross CIN (9)","WR","160","200","125","142"
"Albert Wilson MIA (11)","WR","160","132","176","159"
"Sam Bradford ARI (9)","QB","163","177","200","95"
"TJ Yeldon JAC (9)","RB","164","191","116","170"
"Mitch Trubisky CHI (5)","QB","165","198","148","133"
"Chad Williams ARI (9)","WR","166","156","157","167"
"Jared Cook OAK (7)","TE","167","179","142","160"
"CJ Anderson CAR (4)","RB","168","188","162","134"
"Chris Carson SEA (7)","RB","169","100","174","212"
"O.J. Howard TB (5)","TE","170","153","183","152"
"Benjamin Watson NO (6)","TE","171","157","177","156"
"George Kittle SF (11)","TE","172","189","160","144"
"Anthony Miller CHI (5)","WR","173","166","200","130"
"Taywan Taylor TEN (8)","WR","174","150","150","200"
"Charles Clay BUF (11)","TE","175","134","185","183"
"Jameis Winston TB (5)","QB","176","199","158","147"
"Courtland Sutton DEN (10)","WR","177","123","199","187"
"Joe Flacco BAL (10)","QB","178","200","164","148"
"Chester Rogers IND (9)","WR","179","119","200","194"
"Spencer Ware KC (12)","RB","180","120","200","196"
"Dante Pettis SF (11)","WR","181","171","151","198"
"Doug Martin OAK (7)","RB","182","200","172","153"
"Ricky Seals-Jones ARI (9)","TE","182","200","175","150"
"Darren Sproles PHI (9)","RB","184","135","200","191"
"Tyler Eifert CIN (9)","TE","185","163","200","164"
"Michael Gallup DAL (8)","WR","186","200","153","177"
"Sam Darnold NYJ (11)","QB","187","194","180","161"
"LeGarrette Blount DET (6)","RB","187","167","159","209"
"Eric Ebron IND (9)","TE","189","139","200","200"
"Austin Hooper ATL (8)","TE","190","187","168","189"
"Nyheim Hines IND (9)","RB","191","169","186","190"
"Brandon Marshall SEA (7)","WR","192","190","184","179"
"Josh Allen BUF (11)","QB","193","192","188","174"
"Kenneth Dixon BAL (10)","RB","194","158","200","200"
"D'onta Foreman HOU (10)","RB","195","159","200","200"
"James Washington PIT (7)","WR","196","200","161","199"
"Antonio Gates LAC (8)","TE","197","200","200","163"
"John Kelly LAR (12)","RB","198","200","165","200"
"Luke Willson DET (6)","TE","199","200","191","176"
"Tyrod Taylor CLE (11)","QB","200","154","200","214"
