"Player Name","Pos","Consensus","Andy","Jason","Mike"
"Aaron Jones GB (7)","RB","166","175","200","124"
"Mike Williams LAC (8)","WR","167","149","161","193"
"Chris Godwin TB (5)","WR","168","161","181","162"
"O.J. Howard TB (5)","TE","169","179","190","136"
"Jordan Wilkins IND (9)","RB","170","187","200","120"
"Corey Coleman BUF (11)","WR","171","200","124","184"
"George Kittle SF (11)","TE","172","200","179","130"
"Chester Rogers IND (9)","WR","173","111","200","199"
"Mike Wallace PHI (9)","WR","174","142","175","194"
"Dante Pettis SF (11)","WR","175","162","145","206"
"David Njoku CLE (11)","TE","176","197","154","163"
"James White NE (11)","RB","177","194","155","166"
"Theo Riddick DET (6)","RB","178","172","159","186"
"Spencer Ware KC (12)","RB","179","130","200","189"
"Keelan Cole JAC (9)","WR","179","193","130","196"
"Brice Butler ARI (9)","WR","181","120","200","200"
"Tyler Eifert CIN (9)","TE","182","190","186","146"
"Cameron Meredith NO (6)","WR","183","140","168","216"
"Tyrod Taylor CLE (11)","QB","184","106","200","220"
"Anthony Miller CHI (5)","WR","185","188","200","140"
"D'onta Foreman HOU (10)","RB","186","167","150","212"
"Joe Flacco BAL (10)","QB","187","200","185","147"
"Peyton Barber TB (5)","RB","188","181","157","200"
"Taywan Taylor TEN (8)","WR","188","200","138","200"
"Nyheim Hines IND (9)","RB","190","157","200","191"
"Brandon Marshall SEA (7)","WR","190","180","187","181"
"Darren Sproles PHI (9)","RB","192","177","200","180"
"Eric Ebron IND (9)","TE","192","174","188","195"
"Luke Willson DET (6)","TE","194","200","189","169"
"AJ McCarron BUF (11)","QB","195","159","200","200"
"Danny Amendola MIA (11)","WR","195","165","194","200"
"Josh McCown NYJ (11)","QB","197","145","200","215"
"Kalen Ballage MIA (11)","RB","197","160","200","200"
"Josh Allen BUF (11)","QB","199","200","200","161"
"Charles Clay BUF (11)","TE","200","191","196","175"
